Order	code	text			gsed	gsed2	p1	p2	p3
252	Ma_SF_C097	Does your child usually communicate with words what he/she wants in a way that is understandable to others?			iyolgc023	gpalgc102	sf1	__c	097
253	Ma_SF_C098	Can your child say ten or more words in addition to "Mama" and "Dada"?			aqicmc033	gpacmc090	sf1	__c	098
254	Ma_SF_C099	When looking at pictures, if you say to your child "what is this?", can they say the name of the object that you point to?			iyolgc021	gpalgc098	sf1	__c	099
255	Ma_SF_C100	Can your child speak using short sentences of two words that go together (e.g., 'Mama go' or 'Dada eat'?			croclc024	gpaclc091	sf1	__c	100
256	Ma_SF_C101	Can your child unscrew the lid from a bottle or jar? 			cromoc033	gpamoc110	sf1	__c	101
257	Ma_SF_C102	Does your child help out around the house with simple chores, even if he/she doesn't do them well? (use local examples of chores)			mdtsed029	gpasec130	sf1	__c	102
258	Ma_SF_C103	Is your child able to go poo or pee without having accidents (wetting or soiling themselves)?			croclc023	gpaclc088	sf1	__c	103
259	Ma_SF_C104	Can your child speak using sentences of three or more words that go together (e.g., "I want water" or "The house is big")?			croclc029	gpaclc112	sf1	__c	104
260	Ma_SF_C105	Can your child name at least two body parts (e.g., arm, eye, or nose)? 			croclc038	gpaclc100	sf1	__c	105
261	Ma_SF_C106	Can your child remove an item of clothing (e.g., take off his/her shirt)? 			cromoc035	gpamoc104	sf1	__c	106
262	Ma_SF_C107	Can your child say 15 or more separate words (e.g., names like "Mama" or objects like "ball")?			croclc027	gpaclc105	sf1	__c	107
263	Ma_SF_C108	Can your child jump with both feet leaving the ground? 			cromoc034	gpamoc106	sf1	__c	108
264	Ma_SF_C109	Can your child tell you or someone familiar his/her own name [nickname] when asked to?			croclc032	gpaclc108	sf1	__c	109
265	Ma_SF_C110	Can your child correctly ask questions using any of the words "what", "which", "where", or "who"?			croclc042	gpaclc115	sf1	__c	110
266	Ma_SF_C111	Does your child show respect around elders?			mdtsed032	gpasec137	sf1	__c	111
267	Ma_SF_C112	Can your child correctly use any of the words "I," "you," "she," or "he" (e.g., "I go to store," or "He eats rice")?			croclc031	gpaclc113	sf1	__c	112
268	Ma_SF_C113	Can your child sing a short song or repeat parts of a rhyme from memory by him/herself? 			croclc037	gpaclc107	sf1	__c	113
269	Ma_SF_C114	Does your child know the difference between the words "big" and "small"? For example, if you ask, "Give me the big spoon" can your child understand which one to give if there are two different sizes?			iyolgc026	gpalgc111	sf1	__c	114
270	Ma_SF_C115	Does your child pronounce most of his/her words correctly? 			croclc046	gpaclc116	sf1	__c	115
271	Ma_SF_C116	Can your child go to the toilet by him/her-self?			mdtsed033	gpasec134	sf1	__c	116
272	Ma_SF_C117	If you point to an object, can your child correctly use the words "on," "in," or "under" to describe where it is (e.g., "The cup is on the table" instead of "The cup is in the table.")			croclc049	gpaclc120	sf1	__c	117
273	Ma_SF_C118	Can your child put on at least one piece of clothing by himself?			mdtsed026	gpasec109	sf1	__c	118
274	Ma_SF_C119	Can your child explain in words what common objects like a cup or chair are used for? 			croclc039	gpaclc119	sf1	__c	119
275	Ma_SF_C120	Can your child draw a straight line?			iyomoc037	gpamoc103	sf1	__c	120
276	Ma_SF_C121	Can your child say what he/she likes or dislikes (e.g., "I like sweets")?			crosec042	gpasec114	sf1	__c	121
277	Ma_SF_C122	If you show your child two objects or people of different size, can he/she tell you which one is the big one and which is the small one? 			croclc035	gpaclc117	sf1	__c	122
278	Ma_SF_C123	Does your child regularly use describing words such as "fast," "short," "hot," "fat," or "beautiful" correctly?			croclc050	gpaclc121	sf1	__c	123
279	Ma_SF_C124	Does your child know to keep quiet when the situation requires it? (e.g., at ceremonies, when someone is asleep)			mdtsed028	gpasec123	sf1	__c	124
280	Ma_SF_C125	Does your child ask "why" questions (e.g., "Why are you tall?")?			croclc051	gpaclc124	sf1	__c	125
281	Ma_SF_C126	Can your child stand on one foot WITHOUT any support for at least a few seconds?			iyomoc039	gpamoc135	sf1	__c	126
282	Ma_SF_C127	If you ask your child to give you three objects (e.g., stones, beans), does the child give you the correct amount? 			croclc043	gpaclc126	sf1	__c	127
283	Ma_SF_C128	Does your child understand the term 'longest'? For example, if you ask him/her to choose 'which is the longest of 3 objects?' (e.g. 3 spoons or sticks), would he/she be able to choose the longest?			iyolgc029	gpalgc131	sf1	__c	128
284	Ma_SF_C129	Can your child talk about things that have happened in the past using correct language (e.g., "Yesterday I played with my friend" or "Last week she went to the market")?			croclc045	gpaclc138	sf1	__c	129
285	Ma_SF_C130	Can your child tell a story?			iyolgc030	gpalgc127	sf1	__c	130
286	Ma_SF_C131	Can your child tell you when he/she is happy, angry, or sad? 			crosec049	gpasec125	sf1	__c	131
287	Ma_SF_C132	Can the child name at least one color (e.g., red, blue, yellow)? 			croclc044	gpaclc122	sf1	__c	132
288	Ma_SF_C133	Can your child count objects up to five  (e.g., fingers, people)? 			croclc041	gpaclc118	sf1	__c	133
289	Ma_SF_C134	If you draw a circle can your child do it, just as you did?			iyomoc038	gpamoc133	sf1	__c	134
290	Ma_SF_C135	Can your child tell you when others are happy, angry, or sad? 			crosec059	gpasec128	sf1	__c	135
291	Ma_SF_C136	Can your child talk about things that will happen in the future using correct language (e.g., "Tomorrow he will attend school" or "Next week we will go to the market")?			croclc048	gpaclc139	sf1	__c	136
292	Ma_SF_C137	Can the child fasten and unfasten buttons without help? 			cromoc039	gpamoc132	sf1	__c	137
293	Ma_SF_C138	Can your child dress him/herself completely (except for shoelaces, buttons and zippers)?			iyomoc040	gpamoc129	sf1	__c	138
294	Ma_SF_C139	Can your child say what others like or dislike (e.g., "Mama doesn't like fruit," "Papa likes football")?			crosec051	gpasec136	sf1	__c	139
